Site,Aluminum,Arsenic,Barium,Beryllium,Boron,Cadmium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Selenium,Strontium,Thallium,Titanium,Vanadium,Zinc,Soil  Type, Cobbles,Coarse Gravel,Fine Gravel,Coarse Sand,Medium Sand,Fine Sand,Silt,Clay,Moisture,Total Organic Carbon,PFAS
70-FOR-01,4300,1.4,47,,,0.16,5.7,1.8,3.1,6000,12,2.2,650,450,,,3.5,0.23,3.9,,140,9.9,25,"SILTY SAND with Clay
and Gravel",0,0,4,3.5,17.4,61.6,10.1,3.4,14.8,18000,1.391
71-FOR-01,2400,0.61,15,,,,3.1,0.61,0.93,3200,2.2,1.8,270,72,,,1.5,0.32,1.6,,120,6.3,5.4,"SILTY SAND with
Gravel and Clay",0,0,1.7,1.6,14.6,66.7,10.8,4.5,12.9,8100,0.618
72-FOR-01,3200,0.96,11,,,,2.9,,1.1,3800,3.3,,160,31,,,1.6,,,,110,7.9,6.3,"SAND with Silt, Clay,
and Gravel",0,0,0.1,0.6,19.3,70.8,5.4,3.8,21.7,8800,0.58
73-FOR-01,16000,5.9,110,0.75,12,0.29,27,10,25,24000,21,32,9400,240,0.086,,32,0.83,32,0.22,220,38,86,"CLAYEY SILT with
Sand and Gravel",0,0,0.4,0.8,8.4,14.1,46,30.3,33.3,55000,2.016
74-FOR-01,5700,1.7,19,,,0.15,4.3,0.49,3.1,5100,7.8,2.3,210,21,,,2.3,0.38,2.1,,130,11,13,"SAND with Silt and
Clay",0,0,0,0.7,7.6,83,4,4.6,17.3,23000,1.681
75-FOR-01,3800,1.8,20,,,,5.3,1.2,2,5400,11,2.9,540,100,0.047,,2.8,0.22,2,0.09,100,7.8,16,"SILTY SAND with Clay
and Gravel",0,0,7.4,3.6,22.7,51.5,10.3,4.5,11.7,14000,1.095
76-FOR-01,5600,6.1,36,0.29,,0.2,8,3.8,4.7,10000,12,8.9,1200,190,,,7.1,0.24,3.2,,65,17,32,"SILTY SAND with Clay
and Gravel",0,0,1.5,3,8.1,52.8,18.5,16.1,23.2,19000,0.843
77-FOR-01,1300,0.62,19,,,,1.9,0.33,1.5,2500,5.3,,170,110,,,1,,3.8,,82,4.2,6.3,SILTY SAND with Clay,0,0,0.1,0.7,11.4,72.1,11.1,4.5,18.5,26000,0.656
78-FOR-01,3600,2.1,26,0.15,1.1,0.11,5.8,1.5,2.8,5900,8.9,3.3,760,110,0.03,,3.2,0.22,3.9,0.1,120,9.9,22,"CLAYEY SAND with
Silt and Gravel",0,0,0.6,1.2,10.4,73.2,6.9,7.7,17,18000,1.069
79-FOR-01,3000,9.4,21,0.15,,0.2,3.8,1.1,1.9,8000,8.9,2.6,400,40,,,2.3,0.22,3,,75,14,18,"SAND with Silt, Clay,
and Gravel",0,0,0.7,1.4,5.3,83.3,4.4,4.8,19.1,25000,0.91
80-FOR-01,670,0.68,5.4,,,,1.6,,0.83,2300,4.8,,78,10,,,0.53,0.22,0.9,,130,6.9,4.2,"SAND with Silt and
Clay",0,0,0,0.1,1.4,94.6,1.6,2.3,9.4,11000,0.465
81-FOR-01,4400,3.5,29,0.11,,,6.9,2.6,4.2,8300,10,4,870,280,0.032,,6,0.2,3.3,,130,13,26,"SILTY SAND with Clay
and Gravel",0,0,5.8,2.3,7.8,62.5,13.7,7.9,20.7,14000,0.938
82-FOR-01,3900,2.2,19,0.2,,0.27,4.4,0.96,4.3,5100,12,3.1,480,55,0.044,,3,0.35,6.5,,100,9,24,"CLAYEY SAND with
Silt",0,0,0,0.2,7.2,80.3,5.4,6.9,17.3,26000,1.951
83-FOR-01,1800,1.1,51,,,0.12,2.5,1,2,3500,8.4,1.9,270,670,,,1.6,,3.5,,93,6.8,18,"SILTY SAND with Clay
and Gravel",0,0,5.7,2.6,24.4,54,8.6,4.7,22.3,17000,0.753
