PWS ID,Facility Water Type,Latitude,Longitude,Contaminant,chain length,long-short,Total,key,bdod,cec,cfvo,clay,nitrogen,ocd,phh2o,sand,silt,soc,wv0010,wv0033,wv1500
TX1012214,SW-Surface Water,29.884122,-95.641046,PFHxA,6,short,5.8,29.884122-95.641046,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012214,SW-Surface Water,29.884122,-95.641046,PFPeA,5,short,6.5,29.884122-95.641046,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012361,SW-Surface Water,29.81497,-95.69757,PFBA,4,short,5,29.81497-95.69757,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012419,SW-Surface Water,29.891029,-95.66041,PFBA,4,short,7.2,29.891029-95.66041,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012419,SW-Surface Water,29.891029,-95.66041,PFHxA,6,short,4.4,29.891029-95.66041,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012419,SW-Surface Water,29.891029,-95.66041,PFPeA,5,short,4.9,29.891029-95.66041,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012677,SW-Surface Water,29.810943,-95.171301,PFBA,4,short,5.1,29.810943-95.171301,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012740,GW-Groundwater,29.97274,-95.57279,PFBS,4,short,4.3,29.97274-95.57279,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012740,GW-Groundwater,29.97274,-95.57279,PFHxA,6,short,8.5,29.97274-95.57279,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012740,GW-Groundwater,29.97274,-95.57279,PFPeA,5,short,15,29.97274-95.57279,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012835,SW-Surface Water,29.982427,-95.224727,PFBA,4,short,6,29.982427-95.224727,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012942,SW-Surface Water,29.857571,-95.649248,PFBA,4,short,5.3,29.857571-95.649248,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1012953,SW-Surface Water,30.011313,-95.442171,PFBA,4,short,6.5,30.011313-95.442171,189,458,70,810,180,288,75,727,851,246,487,428,325
TX1013002,SW-Surface Water,29.933293,-95.679878,PFBA,4,short,14.6,29.933293-95.679878,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013002,SW-Surface Water,29.933293,-95.679878,PFBS,4,short,7.2,29.933293-95.679878,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013002,SW-Surface Water,29.933293,-95.679878,PFHxA,6,short,12.8,29.933293-95.679878,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013002,SW-Surface Water,29.933293,-95.679878,PFHxS,6,short,6.5,29.933293-95.679878,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013002,SW-Surface Water,29.933293,-95.679878,PFPeA,5,short,14.4,29.933293-95.679878,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013040,SW-Surface Water,30.032581,-95.567255,PFHxA,6,short,3.1,30.032581-95.567255,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013040,SW-Surface Water,30.032581,-95.567255,PFPeA,5,short,3,30.032581-95.567255,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013123,GW-Groundwater,29.924919,-95.16615,PFBA,4,short,14.6,29.924919-95.16615,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013261,SW-Surface Water,29.814939,-94.979971,PFBA,4,short,5.3,29.814939-94.979971,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013354,SW-Surface Water,29.958288,-95.17485,PFBA,4,short,5.3,29.958288-95.17485,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013450,GW-Groundwater,29.937002,-95.716824,PFBA,4,short,6,29.937002-95.716824,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013450,GW-Groundwater,29.937002,-95.716824,PFHxA,6,short,8.9,29.937002-95.716824,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013450,GW-Groundwater,29.937002,-95.716824,PFPeA,5,short,8.6,29.937002-95.716824,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1013612,SW-Surface Water,29.612052,-95.1273,PFBA,4,short,7.3,29.612052-95.1273,196,456,110,876,271,421,82,727,786,411,464,428,358
TX1013612,SW-Surface Water,29.612052,-95.1273,PFBS,4,short,3.7,29.612052-95.1273,196,456,110,876,271,421,82,727,786,411,464,428,358
TX1013612,SW-Surface Water,29.612052,-95.1273,PFHxA,6,short,6.9,29.612052-95.1273,196,456,110,876,271,421,82,727,786,411,464,428,358
TX1013612,SW-Surface Water,29.612052,-95.1273,PFHxS,6,short,3.7,29.612052-95.1273,196,456,110,876,271,421,82,727,786,411,464,428,358
TX1013612,SW-Surface Water,29.612052,-95.1273,PFPeA,5,short,7.5,29.612052-95.1273,196,456,110,876,271,421,82,727,786,411,464,428,358
TX1020074,"MX-Any combination of GW, SW, and GU",32.696859,-94.514992,6:2 FTS,8,Long,6.8,32.696859-94.514992,176,374,90,796,120,224,63,859,826,116,463,379,337
TX1020074,SW-Surface Water,32.696859,-94.514992,6:2 FTS,8,Long,6.3,32.696859-94.514992,176,374,90,796,120,224,63,859,826,116,463,379,337
TX1020074,SW-Surface Water,32.696859,-94.514992,PFBA,4,short,10,32.696859-94.514992,176,374,90,796,120,224,63,859,826,116,463,379,337
TX1020074,SW-Surface Water,32.696859,-94.514992,PFBS,4,short,4.8,32.696859-94.514992,176,374,90,796,120,224,63,859,826,116,463,379,337
TX1020074,SW-Surface Water,32.696859,-94.514992,PFHxA,6,short,6.5,32.696859-94.514992,176,374,90,796,120,224,63,859,826,116,463,379,337
TX1020074,SW-Surface Water,32.696859,-94.514992,PFPeA,5,short,164,32.696859-94.514992,176,374,90,796,120,224,63,859,826,116,463,379,337
TX1040001,SW-Surface Water,33.161663,-99.731794,PFBA,4,short,8.3,33.161663-99.731794,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1050001,"MX-Any combination of GW, SW, and GU",29.862163,-97.95097,PFPeA,5,short,3.6,29.862163-97.95097,190,569,90,871,259,310,82,557,859,222,486,431,334
TX1050001,SW-Surface Water,29.862163,-97.95097,PFPeA,5,short,3.7,29.862163-97.95097,190,569,90,871,259,310,82,557,859,222,486,431,334
TX1050002,SW-Surface Water,30.000653,-97.870352,PFPeA,5,short,3.1,30.000653-97.870352,190,521,190,883,259,313,81,771,836,193,477,445,338
TX1050012,SW-Surface Water,30.083262,-97.833233,PFPeA,5,short,3,30.083262-97.833233,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1050019,SW-Surface Water,30.015838,-97.764026,PFPeA,5,short,3.6,30.015838-97.764026,190,483,110,883,210,330,82,442,880,202,486,430,353
