PWS ID,Facility Water Type,Latitude,Longitude,Contaminant,chain length,long-short,Total,key,bdod,cec,cfvo,clay,nitrogen,ocd,phh2o,sand,silt,soc,wv0010,wv0033,wv1500
TX1500001,SW-Surface Water,30.749417,-98.677405,6:2 FTS,8,Long,7.7,30.749417-98.677405,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1520002,SW-Surface Water,33.565989,-101.884579,PFBA,4,short,15,33.565989-101.884579,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1520004,SW-Surface Water,33.435374,-101.649027,6:2 FTS,8,Long,7.1,33.435374-101.649027,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1550008,SW-Surface Water,31.54832,-97.193726,PFBA,4,short,5.4,31.54832-97.193726,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1550010,SW-Surface Water,31.450836,-97.121249,PFBA,4,short,6.3,31.450836-97.121249,190,467,20,846,210,403,82,444,894,193,474,432,354
TX1550010,SW-Surface Water,31.450836,-97.121249,PFBS,4,short,3.2,31.450836-97.121249,190,467,20,846,210,403,82,444,894,193,474,432,354
TX1550010,SW-Surface Water,31.450836,-97.121249,PFHxA,6,short,3.2,31.450836-97.121249,190,467,20,846,210,403,82,444,894,193,474,432,354
TX1550010,SW-Surface Water,31.450836,-97.121249,PFHxS,6,short,3.5,31.450836-97.121249,190,467,20,846,210,403,82,444,894,193,474,432,354
TX1550010,SW-Surface Water,31.450836,-97.121249,PFPeA,5,short,3.3,31.450836-97.121249,190,467,20,846,210,403,82,444,894,193,474,432,354
TX1550033,SW-Surface Water,31.6305,-97.10536,PFBA,4,short,7,31.6305-97.10536,188,467,140,781,268,405,83,784,834,257,440,390,355
TX1650001,"MX-Any combination of GW, SW, and GU",32.018878,-102.118194,PFBA,4,short,7.4,32.018878-102.118194,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1650001,"MX-Any combination of GW, SW, and GU",32.018878,-102.118194,PFBS,4,short,5.2,32.018878-102.118194,0,0,0,0,0,0,0,0,0,0,0,0,0
